learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
630000.0,19.858578675,-2.9418532394384962E-9,630000.0,83.58031746031746,75.37003029047263,75.34811340763883,75.33912164513929,630000.0,-1193.0,273.0,137.0,137.0,12.0,0.0,0.0,1.0
640000.0,20.175147379,-3.0402928926894023E-9,640000.0,83.5871875,75.38042613527706,75.36029949895851,75.35180035901588,640000.0,-1202.0,275.0,138.0,138.0,12.0,0.0,0.0,1.0
650000.0,20.497968447,-3.143683275650255E-9,650000.0,83.59646153846154,75.3943456608171,75.37387375943202,75.35879196306003,650000.0,-1238.0,283.0,142.0,142.0,12.0,0.0,0.0,1.0
660000.0,20.804585261,-3.2433116939162E-9,660000.0,83.60636363636364,75.40927821877173,75.386778224403,75.37585514726966,660000.0,-1256.0,287.0,144.0,144.0,12.0,0.0,0.0,1.0
670000.0,21.114890903,-3.3455836892961E-9,670000.0,83.61835820895523,75.42725420948197,75.40503475567945,75.39571699817749,670000.0,-1274.0,291.0,146.0,146.0,12.0,0.0,0.0,1.0
680000.0,21.425709678,-3.448024805467575E-9,680000.0,83.6360294117647,75.45371374969001,75.43207750459231,75.42524105458898,680000.0,-1274.0,291.0,146.0,146.0,12.0,0.0,0.0,1.0
690000.0,21.738110407,-3.551714674119268E-9,690000.0,83.64652173913043,75.46938504053983,75.4485402587456,75.4380122114474,690000.0,-1283.0,293.0,147.0,147.0,12.0,0.0,0.0,1.0
700000.0,22.048067427,-3.655315118867438E-9,700000.0,83.66185714285714,75.49238445347211,75.469516798792,75.46241168532191,700000.0,-1292.0,295.0,148.0,148.0,12.0,0.0,0.0,1.0
710000.0,22.368214795,-3.764143690790515E-9,710000.0,83.66112676056338,75.49129215472686,75.46980298618556,75.46798737935524,710000.0,-1314.0,299.0,150.0,150.0,12.0,0.0,0.0,1.0
720000.0,22.679189397,-3.871302227571141E-9,720000.0,83.66166666666666,75.49220972288168,75.47216233460244,75.46714938770063,720000.0,-1332.0,303.0,152.0,152.0,12.0,0.0,0.0,1.0
730000.0,22.998849451,-3.983686478317249E-9,730000.0,83.67356164383561,75.51005254149436,75.49409471485204,75.48396253777182,730000.0,-1359.0,309.0,155.0,155.0,12.0,0.0,0.0,1.0
740000.0,23.325392271,-4.101109315201691E-9,740000.0,83.67797297297297,75.51648671357877,75.50179705817925,75.48678170017413,740000.0,-1390.0,317.0,159.0,159.0,12.0,0.0,0.0,1.0
750000.0,23.622924167,-4.209562460624146E-9,750000.0,83.682,75.52247192096067,75.50810893022957,75.49393580786813,750000.0,-1409.0,321.0,161.0,161.0,12.0,0.0,0.0,1.0
760000.0,23.932703871,-4.32608635645489E-9,760000.0,83.68381578947368,75.52528257293764,75.511771838429,75.49962756383279,760000.0,-1454.0,331.0,166.0,166.0,12.0,0.0,0.0,1.0
770000.0,24.24334318,-4.443656856930917E-9,770000.0,83.69194805194805,75.53747396855117,75.52264757423302,75.50985382597587,770000.0,-1463.0,333.0,167.0,167.0,12.0,0.0,0.0,1.0
780000.0,24.577003102,-4.573824492082413E-9,780000.0,83.70615384615384,75.5588668086394,75.54074521705827,75.53288156476204,780000.0,-1508.0,343.0,172.0,172.0,12.0,0.0,0.0,1.0
790000.0,24.886930631,-4.695455236235478E-9,790000.0,83.71518987341771,75.57241288510235,75.55469838127068,75.54591627256276,790000.0,-1517.0,345.0,173.0,173.0,12.0,0.0,0.0,1.0
800000.0,25.214945428,-4.824948029318151E-9,800000.0,83.73025,75.59511889965832,75.57420088539251,75.56796531108336,800000.0,-1526.0,347.0,174.0,174.0,12.0,0.0,0.0,1.0
810000.0,25.53603689,-4.953202845597794E-9,810000.0,83.7383950617284,75.60733441022495,75.58480507733144,75.58127463303043,810000.0,-1544.0,351.0,176.0,176.0,12.0,0.0,0.0,1.0
820000.0,25.858745136,-5.085025430113956E-9,820000.0,83.7469512195122,75.62017421832347,75.59946319734453,75.59405650495538,820000.0,-1579.0,359.0,180.0,180.0,12.0,0.0,0.0,1.0
830000.0,26.171683103,-5.2136665414666964E-9,830000.0,83.75024096385543,75.6251375151528,75.60828724685594,75.59968231626898,830000.0,-1589.0,361.0,181.0,181.0,12.0,0.0,0.0,1.0
840000.0,26.50966349,-5.355749664191519E-9,840000.0,83.75428571428571,75.63120390542659,75.61414073905965,75.6057710699289,840000.0,-1625.0,369.0,185.0,185.0,12.0,0.0,0.0,1.0
850000.0,26.833154201,-5.493917360643132E-9,850000.0,83.75858823529411,75.6375670862669,75.61745838867381,75.61129866848984,850000.0,-1651.0,373.0,187.0,187.0,12.0,0.0,0.0,1.0
860000.0,27.159849735,-5.634214532002807E-9,860000.0,83.76674418604651,75.6497058087352,75.62680586956714,75.62054910781332,860000.0,-1660.0,375.0,188.0,188.0,12.0,0.0,0.0,1.0
870000.0,27.503073582,-5.783918273397722E-9,870000.0,83.76793103448276,75.65154268540294,75.62668277528476,75.62457926987142,870000.0,-1686.0,381.0,191.0,191.0,13.0,0.0,0.0,1.0
880000.0,27.852981451,-5.940701365830481E-9,880000.0,83.77829545454546,75.66706592734216,75.6402599264179,75.6403430634763,880000.0,-1732.0,391.0,196.0,196.0,13.0,0.0,0.0,1.0
890000.0,28.184376085,-6.092961449014127E-9,890000.0,83.78438202247192,75.67619162352588,75.6478292636421,75.64750052731492,890000.0,-1776.0,401.0,201.0,201.0,13.0,0.0,0.0,1.0
900000.0,28.532217617,-6.25448785031887E-9,900000.0,83.78244444444445,75.67334005265053,75.64334262823883,75.64594363250167,900000.0,-1795.0,405.0,203.0,203.0,13.0,0.0,0.0,1.0
910000.0,28.866383031,-6.410960235491705E-9,910000.0,83.79362637362637,75.69017453124947,75.66273251745945,75.66486092249711,910000.0,-1810.0,409.0,205.0,205.0,13.0,0.0,0.0,1.0
920000.0,29.196953878,-6.566006027541071E-9,920000.0,83.79760869565217,75.69611253748168,75.66620740092593,75.67129100701811,920000.0,-1813.0,409.0,205.0,205.0,13.0,0.0,0.0,1.0
930000.0,29.539428043,-6.729026920541138E-9,930000.0,83.79602150537634,75.69379016024733,75.66125346232427,75.66962339637507,930000.0,-1840.0,415.0,208.0,208.0,13.0,0.0,0.0,1.0
940000.0,29.88053195,-6.893778141234587E-9,940000.0,83.80234042553192,75.70323085621663,75.66986257590284,75.67817972122029,940000.0,-1867.0,421.0,211.0,211.0,13.0,0.0,0.0,1.0
950000.0,30.20818585,-7.052795964767639E-9,950000.0,83.81242105263158,75.71843383062583,75.68702471107176,75.6964769990328,950000.0,-1876.0,423.0,212.0,212.0,13.0,0.0,0.0,1.0
960000.0,30.537568112,-7.2149533098615286E-9,960000.0,83.8159375,75.7236228780612,75.6949300494183,75.70112605567721,960000.0,-1903.0,429.0,215.0,215.0,13.0,0.0,0.0,1.0
970000.0,30.902237735,-7.397030073944996E-9,970000.0,83.82639175257732,75.73932786573164,75.71086635433856,75.71894873529098,970000.0,-1930.0,435.0,218.0,218.0,13.0,0.0,0.0,1.0
980000.0,31.234506602,-7.564476634925748E-9,980000.0,83.82908163265306,75.74351152166344,75.71647693927241,75.72596184775249,980000.0,-1948.0,439.0,220.0,220.0,13.0,0.0,0.0,1.0
990000.0,31.574285231,-7.736410940699797E-9,990000.0,83.83141414141414,75.74697319972925,75.71577248205259,75.73050028201132,990000.0,-1956.0,441.0,221.0,221.0,13.0,0.0,0.0,1.0
1000000.0,31.90272168,-7.903455559884509E-9,1000000.0,83.8406,75.76071273133877,75.72963977603152,75.74490376403237,1000000.0,-1966.0,443.0,222.0,222.0,13.0,0.0,0.0,1.0
