"","x"
"596",15.6933333333333
"597",15.88
"598",16.0666666666667
"599",16.2466666666667
"600",16.8660292519298
"601",16.8378934577062
"602",16.8312267910396
"603",16.5045601243729
"604",17.2902118197631
"605",16.6568784864298
"606",16.3235451530964
"607",16.1568784864298
"608",16.0968784864298
"609",16.1568784864298
"610",15.9968784864298
"611",15.6168784864298
"612",15.3702118197631
"613",15.2235451530964
"614",15.1302118197631
"615",14.8308492344999
"616",15.0189850287235
"617",15.0323183620568
"618",15.8827571083272
"619",16.0588919952233
"620",16.2388919952233
"621",15.92555866189
"622",15.8388919952233
"623",15.48555866189
"624",15.2788919952233
"625",15.1722253285566
"626",15.12555866189
"627",15.3122253285566
"628",15.2722253285566
"629",15.1522253285566
"630",15.0722253285566
"631",14.9722253285566
"632",15.1522253285566
"633",14.428453248953
"634",13.18
"635",13.4933333333333
"636",14.0466666666667
"637",14.3333333333333
"638",14.8733333333333
"639",15.2466666666667
"640",15.9706650504905
"641",15.9639983838239
"642",16.0773317171572
"643",15.9931610639809
"644",16.9882575822434
"645",17.0015909155768
"646",17.4149242489101
"647",18.1463482583914
"648",18.253014925058
"649",18.4396815917247
"650",18.4396815917247
"651",18.5263482583914
"652",18.7663482583914
"653",18.7596815917247
"654",18.793014925058
"655",18.4223498745675
"656",18.7227504045538
"657",18.8494170712205
"658",19.6201659779204
"659",18.4620283882592
"660",18.6345910198211
"661",18.2777277298152
"662",17.8150932367851
"663",17.9950932367851
"664",18.371795518154
"665",18.7106434455034
"666",18.9149098094798
"667",19.5002923916202
"668",20.0640836323167
"669",20.0992249678374
"670",20.1204321736691
"671",20.3120879652194
"672",21.0452883501701
"673",21.1053767633131
"674",21.8817511680451
"675",22.3425218698166
"676",23.0460518264891
"677",23.157262310038
"678",24.0323352153569
"679",23.575632933988
"680",23.3767850066385
"681",23.3525186426621
"682",22.6471360605217
"683",22.1033448198253
"684",22.1015368176379
"685",22.0336629451395
"686",21.7682732902696
"687",21.2932707216224
"688",20.919937388289
"689",20.8132707216224
"690",20.6666040549557
"691",20.7550296269756
"692",20.6750296269756
"693",20.0666233883234
"694",20.3799567216567
"695",20.6866233883234
"696",20.8066233883234
"697",21.2866233883234
"698",21.61329005499
"699",21.9599567216567
"700",22.3199567216567
"701",22.59329005499
"702",22.4617589053533
"703",22.6484255720199
"704",22.8417589053533
"705",22.6550922386866
"706",22.1266666666667
"707",22.3232294158873
"708",22.4698960825539
"709",22.8632294158873
"710",22.7832294158873
"711",23.4098960825539
"712",23.6165627492206
"713",23.7298960825539
"714",24.2498960825539
"715",24.4832294158873
"716",24.5185674857106
"717",24.7919008190439
"718",25.0185674857106
"719",25.4472894263454
"720",25.9606227596787
"721",26.2472894263454
"722",26.7107266771248
"723",26.7240600104581
"724",26.4440600104581
"725",26.3307266771248
"726",25.9973933437914
"727",25.9507266771248
"728",26.1773933437914
"729",25.9973933437914
"730",26.1240600104581
"731",26.4687219406348
"732",26.6687219406348
"733",26.6753886073015
"734",26.28
"735",26.2380675262138
"736",26.1780675262138
"737",25.7847341928804
"738",25.7847341928804
"739",26.2113463014399
"740",26.7113463014399
"741",27.0646796347733
"742",27.3646796347733
"743",27.6513463014399
